City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Busselton,AU,-33.65,115.3333,62.02,41,18,2.68,few clouds
80,Bluff,NZ,-46.6,168.3333,47.8,95,100,13.11,light rain
81,Arraial Do Cabo,BR,-22.9661,-42.0278,71.87,85,42,21.7,scattered clouds
82,Cape Town,ZA,-33.9258,18.4232,62.89,85,100,13.0,overcast clouds
83,Salalah,OM,17.0151,54.0924,73.49,73,20,3.44,few clouds
84,Saint-Francois,FR,46.4154,3.9054,51.24,100,0,3.44,clear sky
85,Camacha,PT,33.0833,-16.3333,67.42,83,75,1.14,broken clouds
86,Newport,GB,51.5877,-2.9984,60.03,89,99,9.46,light rain
87,Naustdal,NO,61.509,5.7168,53.46,96,100,5.28,overcast clouds
88,Narsaq,GL,60.9167,-46.05,30.42,92,94,5.73,overcast clouds
89,Torbay,CA,47.6666,-52.7314,58.26,96,100,17.27,overcast clouds
90,Nelson Bay,AU,-32.7167,152.15,84.25,72,62,7.0,broken clouds
91,Nishihara,JP,26.1842,127.7558,82.06,54,20,19.57,few clouds
92,Savannah Bight,HN,16.45,-85.85,82.99,69,74,10.6,broken clouds
93,Paita,PE,-5.0892,-81.1144,63.41,84,28,9.35,scattered clouds
94,Butaritari,KI,3.0707,172.7902,82.4,76,42,15.79,scattered clouds
95,Aranos,NA,-24.1333,19.1167,70.93,24,5,8.55,clear sky
96,Vanderhoof,CA,54.0166,-124.0198,44.64,49,100,16.2,overcast clouds
97,Dinghai,CN,26.2847,119.7936,70.92,76,8,15.23,clear sky
98,Kailua,US,21.4022,-157.7394,82.38,76,74,1.01,broken clouds
99,Faanui,PF,-16.4833,-151.75,75.78,87,100,20.65,moderate rain
100,Yar-Sale,RU,66.8333,70.8333,28.2,83,100,17.11,overcast clouds
101,Shetpe,KZ,44.1667,52.1167,45.12,46,100,12.91,overcast clouds
102,Bilibino,RU,68.0546,166.4372,2.21,100,97,1.92,overcast clouds
103,Verkhnevilyuysk,RU,63.4453,120.3167,30.63,84,100,10.0,overcast clouds
104,Fairbanks,US,64.8378,-147.7164,17.56,77,0,8.05,clear sky
105,Butterworth,MY,5.3991,100.3638,84.34,78,20,5.75,few clouds
106,Kalianget,ID,-7.05,113.9333,79.66,80,100,1.59,overcast clouds
107,Port Elizabeth,ZA,-33.918,25.5701,57.09,92,10,6.69,clear sky
108,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.59,85,71,13.6,broken clouds
109,Ko Samui,TH,9.5357,99.9357,82.27,76,100,6.98,overcast clouds
110,Grand-Santi,GF,4.25,-54.3833,72.3,98,54,2.39,broken clouds
111,Avarua,CK,-21.2078,-159.775,73.45,78,20,6.91,few clouds
112,Manggar,ID,-2.8833,108.2667,85.73,65,98,8.12,overcast clouds
113,Viedma,AR,-40.8135,-62.9967,53.74,67,0,6.06,clear sky
114,Porto Velho,BR,-8.7619,-63.9039,77.05,94,0,1.14,clear sky
115,Fengrun,CN,39.8333,118.1167,53.83,19,93,6.87,overcast clouds
116,Calvinia,ZA,-31.4707,19.776,61.3,29,63,4.88,broken clouds
117,Castro,BR,-24.7911,-50.0119,58.68,61,13,3.13,few clouds
118,Jamshedpur,IN,22.8,86.1833,74.98,60,0,2.33,clear sky
119,Ogaminana,NG,7.5946,6.2248,73.08,92,23,2.28,few clouds
120,Elk Plain,US,47.0532,-122.3976,50.27,80,100,6.91,overcast clouds
121,North Bend,US,43.4065,-124.2243,51.85,100,0,5.75,clear sky
122,Kloulklubed,PW,7.0419,134.2556,75.7,81,100,23.11,moderate rain
123,Amapa,BR,1.0,-52.0,73.13,88,100,2.77,overcast clouds
124,Upernavik,GL,72.7868,-56.1549,19.94,95,100,6.42,light snow
125,Owando,CG,-0.4819,15.8999,70.07,100,100,0.38,moderate rain
126,Lushnje,AL,40.9419,19.705,61.47,70,0,2.35,clear sky
127,Soyo,AO,-6.1349,12.3689,76.66,90,80,8.05,broken clouds
128,Shakawe,BW,-18.3667,21.85,71.15,58,71,2.57,moderate rain
129,Korla,CN,41.7597,86.1469,56.98,31,97,8.1,overcast clouds
130,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,96,10.09,overcast clouds
131,Lavrentiya,RU,65.5833,-171.0,23.99,73,21,3.38,few clouds
132,Carnarvon,AU,-24.8667,113.6333,71.31,53,0,21.77,clear sky
133,Upornaya,RU,44.3914,41.0196,48.65,78,77,3.76,broken clouds
134,Pizarro,CO,4.9533,-77.366,75.18,91,100,4.18,overcast clouds
135,Powell River,CA,49.8496,-124.5361,49.03,91,100,8.03,light rain
136,Longyearbyen,SJ,78.2186,15.6401,13.84,79,20,9.22,few clouds
137,Hasaki,JP,35.7333,140.8333,70.21,46,36,4.72,scattered clouds
138,Merauke,ID,-8.4667,140.3333,86.49,63,81,9.71,broken clouds
139,Kulhudhuffushi,MV,6.6221,73.07,81.63,69,5,2.19,clear sky
