City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
628,Ambala,IN,77.16,30.3783,76.7808,clear sky,SPOT ON 47967 Akash Motel New Saver
629,Qinzhou,CN,83.37,21.95,108.6167,broken clouds,Jinjiang Inn Style Qingzhou Walmart
634,Begamganj,IN,78.39,23.6,78.3333,clear sky,Sandeep Sahu
638,Buchanan,LR,76.84,5.8808,-10.0467,light rain,Kamaneahn Hotel Inc
647,Thanatpin,MM,86.18,17.2119,96.3033,overcast clouds,Lo Ta Ya Garden
649,Kanigoro,ID,83.28,-8.13,112.219,broken clouds,Musafer Villa ( Villa Erlin )
651,Kadhan,PK,86.81,24.481,68.9859,clear sky,ڳوٺ چوڌري جلال الدين جٽ
652,Bentong,MY,80.62,3.5181,101.9079,overcast clouds,Tras Mutiara Hotel Bentong
667,Epe,NG,75.88,6.5841,3.9834,broken clouds,MAGVILLE HOTEL
672,Ormara,PK,82.15,25.2088,64.6357,clear sky,Kenara Colony House for Rent
673,Gouyave,GD,81.37,12.1646,-61.7296,light rain,Rumboat Retreat
676,Labuan,MY,86.36,5.2767,115.2417,few clouds,Tiara Labuan Hotel
677,Mogadishu,SO,80.47,2.0371,45.3438,scattered clouds,Hotel Juba
681,Gorontalo,ID,88.07,0.5412,123.0595,overcast clouds,Maqna Hotel by Prasanthi
683,Puerto Suarez,BO,76.42,-18.95,-57.8,clear sky,Hotel casa real
684,Trairi,BR,77.61,-3.2778,-39.2689,overcast clouds,janelas do mar
686,Wanning,CN,78.53,18.8003,110.3967,overcast clouds,Paradise Hotel
705,Beira,MZ,75.29,-19.8436,34.8389,fog,Beira Terrace Hotel
706,Lahaina,US,82.4,20.8783,-156.6825,clear sky,Lahaina Shores Beach Resort
709,Sambava,MG,76.14,-14.2667,50.1667,scattered clouds,Melrose
710,Harper,LR,76.95,4.375,-7.7169,light rain,Screensaver
